1,5354
2,2585
3,1537
4,1211
5,1023
6,769
7,524
8,509
9,410
10,374
11,410
12,275
13,294
14,202
15,238
16,141
17,125
18,88
19,69
20,106
21,109
22,136
23,87
24,69
25,53
26,74
27,33
28,74
29,75
30,29
31,45
32,40
33,24
34,10
35,20
36,86
37,16
38,20
39,5
40,42
41,30
42,7
43,33
44,6
46,7
47,2
48,11
49,5
50,6
51,2
52,12
53,2
54,6
55,1
56,3
57,1
58,5
59,7
60,3
61,1
63,4
64,3
65,4
66,2
67,1
69,2
70,2
71,1
72,2
74,1
75,2
77,1
78,1
80,3
82,1
83,1
84,1
86,1
88,1
89,2
90,2
92,1
93,1
94,2
95,1
96,1
99,1
100,1
101,1
104,1
106,1
109,1
113,1
117,1
144,1
147,1
150,1
171,1
172,1
173,1
176,2
312,1
314,1
327,1
338,1
