1 5.65 Correctness 
2 22.13 Bad_Practice
3 5.54 MT_Correctness
4 12.68 Performance
5 1.54 Experimental
6 21.71 Style
7 8.75 I18N
8 0.20 Security_High
9 0.01 Security_Low
10 21.81 Malicious_Code
